Date,Open,High,Low,Close,Vol,OI
9/15/2022,1861.5,1861.5,1861.5,1861.5,0,0
9/16/2022,1833.9,1833.9,1833.9,1833.9,0,0
9/19/2022,1848.5,1848.5,1848.5,1848.5,0,0
9/20/2022,1822.8,1822.8,1822.8,1822.8,0,0
9/21/2022,1798.5,1798.5,1798.5,1798.5,0,0
9/22/2022,1756.8,1756.8,1756.8,1756.8,0,0
9/23/2022,1715.2,1715.2,1715.2,1715.2,0,0
9/26/2022,1691.6,1691.6,1691.6,1691.6,0,0
9/27/2022,1697.5,1697.5,1697.5,1697.5,0,0
9/28/2022,1749.9,1749.9,1749.9,1749.9,0,0
9/29/2022,1711.2,1711.2,1711.2,1711.2,0,0
9/30/2022,1698.9,1698.9,1698.9,1698.9,0,0
10/3/2022,1744.0,1744.0,1744.0,1744.0,0,0
10/4/2022,1810.6,1810.6,1810.6,1810.6,0,0
10/5/2022,1797.1,1797.1,1797.1,1797.1,0,0
10/6/2022,1787.2,1799.3,1787.2,1799.3,0,0
10/7/2022,1755.2,1755.2,1755.2,1755.2,0,0
10/10/2022,1744.5,1744.5,1744.5,1744.5,0,0
10/11/2022,1744.3,1744.3,1744.3,1744.3,0,0
10/12/2022,1740.6,1740.6,1740.6,1740.6,0,0
10/13/2022,1781.1,1781.1,1781.1,1781.1,0,0
10/14/2022,1733.2,1733.2,1733.2,1733.2,0,0
10/17/2022,1788.0,1788.0,1788.0,1788.0,0,0
10/18/2022,1807.4,1807.4,1807.4,1807.4,0,0
10/19/2022,1777.2,1777.2,1777.2,1777.2,0,0
10/20/2022,1755.8,1755.8,1755.8,1755.8,0,0
10/21/2022,1793.7,1793.7,1793.7,1793.7,0,0
10/24/2022,1799.8,1799.8,1799.8,1799.8,0,0
10/25/2022,1848.7,1848.7,1848.7,1848.7,0,0
10/26/2022,1857.8,1857.8,1857.8,1857.8,0,0
10/27/2022,1859.2,1859.2,1859.2,1859.2,0,0
10/28/2022,1901.0,1901.0,1901.0,1901.0,0,0
10/31/2022,1909.3,1909.3,1909.3,1909.3,0,0
11/1/2022,1914.3,1914.3,1914.3,1914.3,0,0
11/2/2022,1851.3,1851.3,1851.3,1851.3,0,0
11/3/2022,1839.8,1839.8,1839.8,1839.8,0,0
11/4/2022,1858.9,1858.9,1858.9,1858.9,0,0
11/7/2022,1869.0,1869.0,1869.0,1869.0,0,0
11/8/2022,1868.3,1868.3,1868.3,1868.3,0,0
11/9/2022,1818.3,1818.3,1818.3,1818.3,0,0
11/10/2022,1928.4,1928.4,1928.4,1928.4,0,0
11/11/2022,1944.2,1944.2,1944.2,1944.2,0,0
11/14/2022,1922.5,1922.5,1922.5,1922.5,0,0
11/15/2022,1950.1,1950.1,1950.1,1950.1,0,0
11/16/2022,1912.9,1912.9,1912.9,1912.9,0,0
11/17/2022,1897.6,1897.6,1897.6,1897.6,0,0
11/18/2022,1908.7,1908.7,1908.7,1908.7,0,0
11/21/2022,1898.0,1898.0,1898.0,1898.0,0,0
11/22/2022,1919.6,1919.6,1919.6,1919.6,0,0
11/23/2022,1922.4,1922.4,1922.4,1922.4,0,0
11/25/2022,1928.5,1928.5,1928.5,1928.5,0,0
11/28/2022,1889.0,1889.0,1889.0,1889.0,0,0
11/29/2022,1894.5,1894.5,1894.5,1894.5,0,0
11/30/2022,1944.4,1944.4,1944.4,1944.4,0,0
12/1/2022,1940.0,1940.0,1940.0,1940.0,0,0
12/2/2022,1951.7,1951.7,1951.7,1951.7,0,0
12/5/2022,1897.0,1897.0,1897.0,1897.0,0,0
12/6/2022,1868.0,1868.0,1868.0,1868.0,0,0
12/7/2022,1862.6,1862.6,1862.6,1862.6,0,0
12/8/2022,1873.7,1873.7,1873.7,1873.7,0,0
12/9/2022,1852.0,1852.0,1852.0,1852.0,0,0
12/12/2022,1873.5,1873.5,1873.5,1873.5,0,0
12/13/2022,1887.0,1887.0,1887.0,1887.0,0,0
12/14/2022,1876.9,1876.9,1876.9,1876.9,0,0
12/15/2022,1827.4,1827.4,1827.4,1827.4,0,0
12/16/2022,1816.9,1816.9,1816.9,1816.9,0,0
